ECOL-042	ECOL-559	ECOL-A27	ECOL-A33	ECOL-A87	ECOL-JGI	ECOL-KRI	ECOL-BL2	ECOL-BW2	ECOL-DH1	ECOL-EC4	ECOL-EDL	ECOL-K12	ECOL-103	ECOL-111	ECOL-127	ECOL-139	ECOL-157	ECOL-017	ECOL-018	ECOL-001	ECOL-026	ECOL-045	ECOL-055	ECOL-006	ECOL-K15	ECOL-007	ECOL-081	ECOL-008	ECOL-009	ECOL-REL	ECOL-SAK	ECOL-SE1	ECOL-SE5	ECOL-SMS	ECOL-TW1	ECOL-UTI	EFER-XXX	SBOY-018	SBOY-004	SDYS-XXX	SFLE-245	SFLE-301	SFLE-05B	SFLE-00X	SSON-XXX
leuA	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
leuC	3	3	3	3	3	3	3	3	3	2	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	6	2	2	2	3	3	4	3	3
leuD	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
leuB	3	3	3	3	3	3	3	3	3	2	3	3	4	3	3	2	3	3	3	2	2	3	2	3	2	2	3	2	3	3	3	3	3	2	3	3	2	3	3	3	3	2	2	2	2	3
tyrB	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ilvELeu	2	2	1	1	2	2	2	2	1	1	1	1	3	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2
gltA	2	2	2	2	2	2	2	2	1	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1
acnB	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2
acnA	3	3	3	3	3	2	2	2	3	2	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	1	2	1	3	3	3	3	3
icd	3	3	3	3	3	3	3	3	3	2	3	3	4	3	3	2	3	3	3	2	2	3	2	3	2	3	3	2	3	3	3	3	3	2	3	3	3	3	3	3	3	2	2	2	2	3
sucA	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	2	1	2	1	2	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1
sucB	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	3	2	2	2	3	3	2	3	2	2	3	2	3	2	2	2	2	2	3	2	2	3	3	2	2	2	2	2	2	2	2
lpd	5	4	4	4	4	4	4	3	3	4	4	4	5	4	5	5	4	4	4	5	5	4	5	4	5	5	4	5	4	4	4	4	4	5	4	4	5	4	3	3	3	3	3	3	3	4
sucD	2	2	2	2	2	2	2	1	1	2	2	2	3	2	2	3	2	2	2	3	3	2	3	2	3	3	2	3	2	2	2	2	2	3	2	2	3	3	1	1	1	1	1	1	1	2
sucC	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	2	1	2	1	2	2	1	2	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1
sdhA	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	2	2	2	2
sdhB	2	2	2	2	2	2	2	2	2	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
sdhC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sdhD	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fumA	4	3	3	2	3	3	3	3	3	3	4	4	5	3	3	3	3	4	4	3	3	3	3	4	3	3	4	3	3	3	3	4	3	3	4	4	3	4	2	3	2	3	3	3	3	3
fumB	5	3	3	2	3	3	3	3	3	3	5	5	5	3	3	4	3	5	5	4	4	3	4	5	4	3	5	4	3	3	3	5	3	4	4	5	4	4	2	3	2	3	3	3	3	3
fumC	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	3	2	2	2	2	2	2	2	2
mdh	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mqo	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1
